"content","original_id","from","date_created","sentiment","original_sentiment"
"#diskon Lazada Weekly Gadget Promo - Diskon Hingga 40%","662249947459411968","GilaPromoDotCom","2015-11-05 19:47:46","",""
"#diskon Lazada Swiss Army Fair - Diskon Hingga 86%","662249947451031552","GilaPromoDotCom","2015-11-05 19:47:46","",""
"#diskon Blibli Music Everywhere Best Deal - Diskon 35%","662249913682690049","GilaPromoDotCom","2015-11-05 19:47:38","",""
"#diskon Lazada FINAL Clearance SALE - Diskon hingga 90%","662249913665888256","GilaPromoDotCom","2015-11-05 19:47:38","",""
"#diskon Galeri Gadget Special Samsung Promo - Cicilan 0% + Gratis Hadiah","662249913582018560","GilaPromoDotCom","2015-11-05 19:47:38","",""
"#onlineonly #diskon Lazada Swiss Army Fair - Diskon Hingga 86%","662249648392962048","GilaPromoDotCom","2015-11-05 19:46:34","",""
"#onlineonly #diskon Lazada Weekly Gadget Promo - Diskon Hingga 40%","662249648111923200","GilaPromoDotCom","2015-11-05 19:46:34","",""
"#indonesia #diskon Lazada FINAL Clearance SALE - Diskon hingga 90%","662242553455079424","GilaPromoDotCom","2015-11-05 19:18:23","",""
"#onlineonly #diskon Lazada FINAL Clearance SALE - Diskon hingga 90%","662219711787192320","GilaPromoDotCom","2015-11-05 17:47:37","",""
"#onlineonly #diskon Blibli Music Everywhere Best Deal - Diskon 35%","662219711669788672","GilaPromoDotCom","2015-11-05 17:47:37","",""
"#diskon Kosmetik Super SALE - Diskon hingga 90%","662212400582672384","GilaPromoDotCom","2015-11-05 17:18:34","",""
"#diskon Blibli Fashion Flash Sale Promo - Diskon Ekstra 30%","662212400435896320","GilaPromoDotCom","2015-11-05 17:18:34","",""
"#diskon Wacoal Wonders Collection Special Promo - Gratis Hadiah Langsung","662200452931592192","GilaPromoDotCom","2015-11-05 16:31:05","",""
"#diskon X8 Clothing Fantastic Deal - Gratis Polo Shirt","662200452805746688","GilaPromoDotCom","2015-11-05 16:31:05","",""
"#diskon Wendys Tcash Great Deal - Diskon 50%","662200452793110529","GilaPromoDotCom","2015-11-05 16:31:05","",""
"#indonesia #diskon Wendys Tcash Great Deal - Diskon 50% - Sekarang kamu bisa makan enak sepuasnya di Wendys","662196950608027648","GilaPromoDotCom","2015-11-05 16:17:10","",""
"#indonesia #diskon Wacoal Wonders Collection Special Promo - Gratis Hadiah Langsung","662196950603812864","GilaPromoDotCom","2015-11-05 16:17:10","",""
"#indonesia #diskon X8 Clothing Fantastic Deal - Gratis Polo Shirt","662196950599643137","GilaPromoDotCom","2015-11-05 16:17:10","",""
"#indonesia #diskon Kosmetik Super SALE - Diskon hingga 90% - Buat lo yang hobi shopping online, promo yang 1","662196950599606272","GilaPromoDotCom","2015-11-05 16:17:10","",""
"#onlineonly #diskon Blibli Fashion Flash Sale Promo - Diskon Ekstra 30%","662189636740104192","GilaPromoDotCom","2015-11-05 15:48:06","",""
"#onlineonly #diskon Kosmetik Super SALE - Diskon hingga 90% - Buat lo yang hobi shopping online, promo yang 1","662189636542926848","GilaPromoDotCom","2015-11-05 15:48:06","",""
"#diskon Traveloka Promo Hotel Hemat - Diskon 72%","662181562788761600","GilaPromoDotCom","2015-11-05 15:16:01","",""
"#diskon The Body Shop Special Tuesday Promo - Beli 2 Gratis 1","662181562398699521","GilaPromoDotCom","2015-11-05 15:16:01","",""
"#onlineonly #diskon Traveloka Promo Hotel Hemat - Diskon 72%","662159545066790912","GilaPromoDotCom","2015-11-05 13:48:32","",""
"#onlineonly #diskon Nutrimart Special Deal - Gratis Upsize - Gunakan Kartu kredit BCA anda saat belanja di","662159544852815872","GilaPromoDotCom","2015-11-05 13:48:32","",""
"#diskon Nutrimart Special Deal - Gratis Upsize","662159245245333504","GilaPromoDotCom","2015-11-05 13:47:21","",""
"#diskon Sony Xperia Great Offers - Gratis Voucher Zalora","662159245245329408","GilaPromoDotCom","2015-11-05 13:47:21","",""
"#diskon Sport Station 2 Weeks Sale - Diskon Hingga 30%","662159245228580864","GilaPromoDotCom","2015-11-05 13:47:21","",""
"#diskon Erafone Samsung Great Deal - Cashback Rp. 500.000","662159245140324353","GilaPromoDotCom","2015-11-05 13:47:21","",""
"#diskon Shabu Shaburi Promo Opening - Gratis Cashback Voucher 50%","662159244918169600","GilaPromoDotCom","2015-11-05 13:47:20","",""
"#diskon Hoka Hoka Bento Promo Eat Fish - Harga Heboh Cuma Rp. 15.000","662152219530280960","GilaPromoDotCom","2015-11-05 13:19:25","",""
"#indonesia #diskon The Body Shop Special Tuesday Promo - Beli 2 Gratis 1","662151667891220480","GilaPromoDotCom","2015-11-05 13:17:14","",""
"#indonesia #diskon Sport Station 2 Weeks Sale - Diskon Hingga 30%","662151667576668160","GilaPromoDotCom","2015-11-05 13:17:14","",""
"#indonesia #diskon Erafone Samsung Great Deal - Cashback Rp. 500.000","662151667253682176","GilaPromoDotCom","2015-11-05 13:17:14","",""
"#indonesia #diskon Sony Xperia Great Offers - Gratis Voucher Zalora","662151667249451008","GilaPromoDotCom","2015-11-05 13:17:14","",""
"#diskon Es Teler 77 Promo Spesial Delivery - Gratis Hadiah Langsung","662121499894001665","GilaPromoDotCom","2015-11-05 11:17:21","",""
"#diskon Galeri Gadget Promo Parade Produk IT - Harga Mulai Rp. 67.000","662121499738906625","GilaPromoDotCom","2015-11-05 11:17:21","",""
"#diskon Dominos Pizza Special Deal - Harga Spesial Rp. 32.046","662121426095312898","GilaPromoDotCom","2015-11-05 11:17:04","",""
"#diskon Cinemaxx Theater Promo Hello November - Beli 2 Gratis 1","662121425856307200","GilaPromoDotCom","2015-11-05 11:17:04","",""
"#diskon Democrata Special Deal - Cashback Hingga Rp. 1.000.000","662121425625595904","GilaPromoDotCom","2015-11-05 11:17:04","",""
"#indonesia #diskon Dominos Pizza Special Deal - Harga Spesial Rp. 32.046","662106087433363456","GilaPromoDotCom","2015-11-05 10:16:07","",""
"#indonesia #diskon Galeri Gadget Promo Parade Produk IT - Harga Mulai Rp. 67.000","662106087433347073","GilaPromoDotCom","2015-11-05 10:16:07","",""
"#indonesia #diskon Es Teler 77 Promo Spesial Delivery - Gratis Hadiah Langsung","662106087102005250","GilaPromoDotCom","2015-11-05 10:16:07","",""
"#indonesia #diskon Global Teleshop Samsung Special Offers - Cashback Rp. 2.000.000","662106081016066049","GilaPromoDotCom","2015-11-05 10:16:05","",""
"#onlineonly #diskon Mandiri Card Promo Belanja Online - Diskon Hingga Rp. 170.000","662098640173969408","GilaPromoDotCom","2015-11-05 09:46:31","",""
"#diskon Jrep Clothing Promo Soft Opening - Diskon 20% - Jrep Clothing kini hadir di Lombok Epicentrum Mall lho","662064188928471047","GilaPromoDotCom","2015-11-05 07:29:37","",""
"#diskon Elevenia Special Offers - Diskon Rp. 100.000 - Cukup dengan bertransaksi minimal Rp. 1.000.000 di","662064188840394752","GilaPromoDotCom","2015-11-05 07:29:37","",""
"#diskon Dominos Pizza Promo Spesial Add On - Diskon 64% - Makan seru sepuasnya bareng teman di Dominos Pizza","662064188588744704","GilaPromoDotCom","2015-11-05 07:29:37","",""
"#diskon Lazada Super Selasa - Diskon hingga 50% + Xtra Diskon Rp 300.000","662064188408406017","GilaPromoDotCom","2015-11-05 07:29:37","",""
"#diskon Erafone Xiaomi Great Deal - Harga Spesial Rp. 2.949.000","662064188408397824","GilaPromoDotCom","2015-11-05 07:29:37","",""
"#indonesia #diskon Air Asia Indomaret Special Deal - Gratis Hadiah Langsung","662061462068830208","GilaPromoDotCom","2015-11-05 07:18:47","",""
"#indonesia #diskon Cinemaxx Theater Promo Hello November - Beli 2 Gratis 1","662061462056214528","GilaPromoDotCom","2015-11-05 07:18:47","",""
"#indonesia #diskon Alfamart Promo Minuman Hemat - Beli 1 Gratis 1 & Harga Spesial","662061462018486272","GilaPromoDotCom","2015-11-05 07:18:47","",""
"#indonesia #diskon Calais Tea Wednesday BIG Deal - Promo Beli 1 Gratis 1","662061461557104640","GilaPromoDotCom","2015-11-05 07:18:47","",""
"#indonesia #diskon Burger King Special Menu Hemat - Harga Spesial Hanya Rp. 22.727","662061461540311040","GilaPromoDotCom","2015-11-05 07:18:47","",""
"#diskon Wacoal November Special Promo - Diskon hingga 50%","662057497818243073","GilaPromoDotCom","2015-11-05 07:03:02","",""
"#diskon Home Solution Clearance Sale - Diskon Hingga 90%","662057497612713984","GilaPromoDotCom","2015-11-05 07:03:02","",""
"#diskon Erafone November Super Sale - Gebyar Diskon & Harga Spesial","662057497604304896","GilaPromoDotCom","2015-11-05 07:03:02","",""
"#diskon Lazada Pimp My House Super Sale - Diskon Hingga 90%","662057497591717888","GilaPromoDotCom","2015-11-05 07:03:02","",""
"#diskon Lazada Mega TV Sales - Diskon Hingga 55%","662057497310715905","GilaPromoDotCom","2015-11-05 07:03:02","",""
"#onlineonly #diskon Lazada Pimp My House Super Sale - Diskon Hingga 90%","661887564828303360","GilaPromoDotCom","2015-11-04 19:47:47","",""
"#onlineonly #diskon Lazada Mega TV Sales - Diskon Hingga 55%","661887564752752640","GilaPromoDotCom","2015-11-04 19:47:47","",""
"#onlineonly #diskon Wacoal November Special Promo - Diskon hingga 50%","661856933117341696","GilaPromoDotCom","2015-11-04 17:46:04","",""
