"content","original_id","from","date_created","sentiment","original_sentiment"
"@GilaPromoDotCom: #diskon Shabu Shaburi Promo Opening @EmporiumPluit","662166753665921024","musthofanahra","2015-11-05 14:17:11","",""
"@GilaPromoDotCom: #diskon Sport Station 2 Weeks Sale - Diskon Hingga 30%","662166642923667456","musthofanahra","2015-11-05 14:16:44","",""
"@GilaPromoDotCom: #diskon Nutrimart Special Deal - Gratis Upsize","662166482097303552","musthofanahra","2015-11-05 14:16:06","",""
"Soooooo @GilaPromoDotCom: #diskon Erafone Samsung Great Deal - Cashback Rp. 500.000","662166459821375488","musthofanahra","2015-11-05 14:16:01","",""
"@GilaPromoDotCom: #diskon Sony Xperia Great Offers - Gratis Voucher Zalora","662166408462102529","musthofanahra","2015-11-05 14:15:48","",""
"@GilaPromoDotCom: #onlineonly #diskon Traveloka Promo Hotel Hemat - Diskon 72%","662166330758467584","musthofanahra","2015-11-05 14:15:30","",""
"🙌🙌🙌🙌🙌 @GilaPromoDotCom: #diskon Sport Station 2 Weeks Sale - Diskon Hingga 30%","662153095149809664","Syeikh_JhonRoe","2015-11-05 13:22:54","",""
"@GilaPromoDotCom: #diskon Cinemaxx Theater Promo Hello November - Beli 2 Gratis 1","662113407387111424","musthofanahra","2015-11-05 10:45:12","",""
"@GilaPromoDotCom: #diskon Es Teler 77 Promo Spesial Delivery - Gratis Hadiah Langsung","662113353741922304","musthofanahra","2015-11-05 10:44:59","",""
"Beuhhh @GilaPromoDotCom: #diskon Philips Earphone Mega Sale - Diskon 50%","662113254194331649","musthofanahra","2015-11-05 10:44:35","",""
"@GilaPromoDotCom: #diskon Global Teleshop Special deal - Cashback Hingga Rp. 2.000.000 & Gratis Voucher","662113234648887296","musthofanahra","2015-11-05 10:44:31","",""
"@GilaPromoDotCom: #diskon Global Teleshop Xiaomi Special Deal - Harga Spesial Rp. 282.000","661739458912321536","musthofanahra","2015-11-04 09:59:16","",""
"@GilaPromoDotCom: #diskon Wellcomm Shop Promo Spesial Aksesoris - Diskon 70%","661739436959404032","musthofanahra","2015-11-04 09:59:10","",""
"@GilaPromoDotCom: #indonesia #diskon Dominos Pizza Promo Menu Terbaru - Cheesy Bread Hanya Rp. 27.727","661739369821110272","musthofanahra","2015-11-04 09:58:54","",""
"@GilaPromoDotCom: #indonesia #diskon Alfamart Promo Belanja Minyak Goreng - Harga Mulai Dari Rp. 20.900","661739354281279489","musthofanahra","2015-11-04 09:58:51","",""
"@GilaPromoDotCom: #onlineonly #diskon Blibli Promo Rabu Cantik Best Deal - Diskon Hingga 70%","661739337399189505","musthofanahra","2015-11-04 09:58:47","",""
